filename,problem?,ticks,velocity,offset_sec,offset_tick
F01_0002_0001_1,True,480,80,0.0,0
F01_0005_0001_1,True,480,80,0.0,0
F01_0005_0001_2,True,480,80,0.0,0
F01_0006_0001_1,True,480,80,0.0,0
F01_0006_0002_1,True,480,80,0.0,0
F01_0006_0002_2,True,480,80,0.0,0
F01_0007_0001_1,True,480,80,0.0,0
F01_0007_0001_2,True,480,80,0.0,0
F01_0008_0001_1,True,480,80,0.0,0
F01_0008_0001_2,True,480,80,0.0,0
F01_0010_0001_1,True,480,80,0.0,0
F01_0010_0001_2,True,480,80,0.0,0
F01_0011_0001_1,True,480,114,0.0,0
F01_0011_0001_2,True,480,114,0.0,0
F01_0012_0001_1,True,480,114,0.0,0
F01_0012_0001_2,True,480,114,0.0,0
F01_0014_0001_1,True,480,80,0.0,0
F01_0014_0001_2,True,480,80,0.0,0
F01_0015_0001_1,True,480,114,0.0,0
F01_0015_0001_2,True,480,114,0.0,0
F01_0016_0001_1,True,480,114,0.0,0
F01_0016_0001_2,True,480,114,0.0,0
F01_0017_0001_1,True,480,80,0.0,0
F01_0017_0001_2,True,480,80,0.0,0
F01_0019_0001_1,True,480,80,0.0,0
F01_0019_0001_2,True,480,80,0.0,0
F01_0020_0001_1,True,480,114,1.714284,1920
F01_0020_0001_2,True,480,114,1.714284,1920
F01_0020_0002_1,True,480,114,0.0,0
F01_0020_0002_2,True,480,114,0.0,0
F01_0022_0002_1,True,480,80,0.0,0
F01_0022_0002_2,True,480,80,0.0,0
F01_0023_0001_1,True,480,114,0.0,0
F01_0024_0001_1,True,480,114,0.0,0
F01_0024_0001_2,True,480,114,0.0,0
F01_0024_0002_1,True,480,114,0.0,0
F01_0024_0003_1,True,480,114,0.0,0
F01_0025_0001_1,True,480,80,0.0,0
F01_0025_0001_2,True,480,80,0.0,0
F01_0025_0002_1,True,480,80,0.0,0
F01_0025_0002_2,True,480,80,0.0,0
F01_0026_0001_1,True,480,114,0.0,0
F01_0026_0001_2,True,480,114,0.0,0
F01_0026_0002_1,True,480,114,0.0,0
F01_0026_0002_2,True,480,114,0.0,0
F01_0027_0001_1,True,480,80,0.0,0
F01_0027_0002_1,True,480,80,0.0,0
F01_0027_0002_2,True,480,80,0.0,0
F01_0030_0001_1,True,480,80,0.0,0
F01_0030_0001_2,True,480,80,0.0,0
F01_0031_0001_1,True,480,114,0.0,0
F01_0031_0001_2,True,480,114,0.0,0
F01_0032_0001_1,True,480,114,0.0,0
F01_0032_0001_2,True,480,114,0.0,0
F01_0032_0002_1,True,480,114,0.0,0
F01_0032_0002_2,True,480,114,0.0,0
F01_0033_0001_1,True,480,114,0.0,0
F01_0033_0001_2,True,480,114,0.0,0
F01_0036_0001_1,True,480,114,0.0,0
F01_0036_0001_2,True,480,114,0.0,0
F01_0036_0002_1,True,480,114,0.0,0
F01_0036_0002_2,True,480,114,0.0,0
F01_0041_0001_1,True,480,114,0.0,0
F01_0041_0001_2,True,480,114,0.0,0
F01_0041_0002_2,True,480,114,0.0,0
F01_0042_0001_1,True,480,114,0.0,0
F01_0042_0001_2,True,480,114,0.0,0
F01_0042_0002_1,True,480,114,0.0,0
F01_0042_0002_2,True,480,114,0.0,0
F01_0046_0001_1,True,480,114,0.0,0
F01_0050_0001_1,True,480,101,0.0,0
F01_0050_0001_2,True,480,101,0.0,0
F01_0052_0001_1,True,480,80,0.0,0
F01_0052_0001_2,True,480,80,0.0,0
F01_0052_0002_2,True,480,80,0.0,0
F01_0052_0003_1,True,480,80,0.0,0
F01_0052_0003_2,True,480,80,0.0,0
F01_0053_0001_1,True,480,80,1.5,1440
F01_0053_0001_2,True,480,80,1.5,1440
F01_0053_0002_1,True,480,80,1.5,1440
F01_0053_0002_2,True,480,80,1.5,1440
F01_0054_0001_1,True,480,91,0.75,720
F01_0054_0001_2,True,480,91,0.75,720
F01_0054_0002_1,True,480,114,0.0,0
F01_0054_0002_2,True,480,114,0.0,0
F01_0060_0001_1,True,480,114,0.0,0
F01_0060_0001_2,True,480,114,0.0,0
F01_0062_0001_1,True,480,114,0.0,0
F01_0062_0001_2,True,480,114,0.0,0
F01_0063_0002_1,True,480,101,0.0,0
F01_0063_0002_2,True,480,101,0.0,0
F01_0063_0003_1,True,480,101,0.0,0
F01_0063_0003_2,True,480,101,0.0,0
F01_0064_0001_1,True,480,114,0.0,0
F01_0064_0001_2,True,480,114,0.0,0
F01_0064_0002_1,True,480,114,0.0,0
F01_0064_0002_2,True,480,114,0.0,0
F01_0067_0001_1,True,480,80,0.0,0
F01_0067_0001_2,True,480,80,0.0,0
F01_0067_0002_1,True,480,80,0.0,0
F01_0067_0002_2,True,480,80,0.0,0
F01_0070_0002_1,True,480,80,0.0,0
F01_0070_0002_2,True,480,80,0.0,0
F01_0070_0003_1,True,480,80,0.0,0
F01_0070_0003_2,True,480,80,0.0,0
F01_0070_0004_1,True,480,80,0.0,0
F01_0070_0004_2,True,480,80,0.0,0
F01_0072_0002_1,True,480,93,2.000001,1440
F01_0072_0002_2,True,480,93,2.000001,1440
F01_0073_0001_1,True,480,114,0.0,0
F01_0073_0001_2,True,480,114,0.0,0
F01_0073_0002_1,True,480,114,0.0,0
F01_0073_0002_2,True,480,114,0.0,0
F01_0073_0003_1,True,480,114,0.0,0
F01_0073_0003_2,True,480,114,0.0,0
F01_0076_0001_1,True,480,80,0.0,0
F01_0076_0001_2,True,480,80,0.0,0
F01_0077_0001_1,True,480,80,2.3333345,1680
F01_0077_0001_2,True,480,80,2.3333345,1680
F01_0080_0001_1,True,480,114,0.0,0
F01_0080_0001_2,True,480,114,0.0,0
F01_0080_0002_1,True,480,114,0.0,0
F01_0080_0002_2,True,480,114,0.0,0
F01_0089_0001_1,True,480,80,0.0,0
F01_0089_0001_2,True,480,80,0.0,0
F01_0089_0002_1,True,480,80,0.0,0
F01_0089_0002_2,True,480,80,0.0,0
F01_0094_0001_1,True,480,100,0.0,0
F01_0094_0001_2,True,480,100,0.0,0
F01_0096_0001_1,True,480,93,2.1176459999999997,1440
F01_0096_0001_2,True,480,93,2.1176459999999997,1440
F01_0097_0001_1,True,480,80,0.0,0
F01_0097_0001_2,True,480,80,0.0,0
F01_0097_0002_1,True,480,80,0.0,0
F01_0097_0002_2,True,480,80,0.0,0
F01_0098_0001_1,True,480,114,0.0,0
F01_0098_0001_2,True,480,114,0.0,0
F01_0099_0001_1,True,480,114,0.0,0
F01_0099_0001_2,True,480,114,0.0,0
F01_0099_0002_1,True,480,114,0.0,0
F01_0099_0002_2,True,480,114,0.0,0
F01_0100_0001_2,True,480,114,0.0,0
F01_0100_0002_1,True,480,114,0.0,0
F01_0100_0002_2,True,480,114,0.0,0
F01_0103_0001_1,True,480,114,0.0,0
F01_0103_0001_2,True,480,114,0.0,0
F01_0103_0002_1,True,480,114,0.0,0
F01_0103_0002_2,True,480,114,0.0,0
F01_0104_0001_1,True,480,114,0.0,0
F01_0104_0001_2,True,480,114,0.0,0
F01_0104_0002_1,True,480,114,0.0,0
F01_0104_0002_2,True,480,114,0.0,0
F01_0106_0001_1,True,480,114,0.0,0
F01_0106_0001_2,True,480,114,0.0,0
F01_0106_0002_1,True,480,114,0.0,0
F01_0106_0002_2,True,480,114,0.0,0
F01_0106_0003_1,True,480,114,0.0,0
F01_0106_0003_2,True,480,114,0.0,0
F01_0108_0001_1,True,480,107,0.97561,960
F01_0108_0001_2,True,480,107,0.97561,960
F01_0115_0001_1,True,480,101,0.0,0
F01_0115_0001_2,True,480,101,0.0,0
F01_0118_0001_1,True,480,80,0.0,0
F01_0118_0001_2,True,480,80,0.0,0
F01_0118_0002_1,True,480,80,0.0,0
F01_0118_0002_2,True,480,80,0.0,0
F01_0120_0001_1,True,480,114,0.0,0
F01_0120_0001_2,True,480,114,0.0,0
F01_0120_0002_2,True,480,114,0.0,0
F01_0125_0001_1,True,480,114,0.0,0
F01_0125_0001_2,True,480,114,0.0,0
F01_0126_0001_1,True,480,93,3.2307694999999996,1680
F01_0126_0001_2,True,480,93,3.2307694999999996,1680
F01_0127_0001_1,True,480,80,0.0,0
F01_0127_0001_2,True,480,80,0.0,0
F01_0127_0002_1,True,480,80,0.0,0
F01_0127_0002_2,True,480,80,0.0,0
F01_0128_0001_2,True,480,93,2.499999,1440
F01_0128_0002_2,True,480,93,2.499999,1440
F01_0128_0003_1,True,480,93,2.499999,1440
F01_0128_0003_2,True,480,93,2.499999,1440
F01_0129_0002_1,True,480,114,0.0,0
F01_0129_0002_2,True,480,114,0.0,0
