key,Genero,PersonID,MusicID,SegmentID,RepetitionID,MetaID,tempo_ms,LimInf_Nota,LimSup_Nota,LimInf_Freq,LimSupFreq,LimInf_Cifrado,LimSup_Cifrado
F01_0001_0001_1_D,F,F01,0001,0001,1,D,500000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0001_0001_2_D,F,F01,0001,0001,2,D,500000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0002_0001_1,F,F01,0002,0001,1,,625000,62,69,293.6647679174076,440.0,D4,A4
F01_0003_0001_1_D,F,F01,0003,0001,1,D,500000,60,67,261.6255653005986,391.99543598174927,C4,G4
F01_0003_0001_2_D,F,F01,0003,0001,2,D,500000,60,67,261.6255653005986,391.99543598174927,C4,G4
F01_0004_0001_1_D,F,F01,0004,0001,1,D,500000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0004_0001_2_D,F,F01,0004,0001,2,D,500000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0005_0001_1,F,F01,0005,0001,1,,625000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0005_0001_2,F,F01,0005,0001,2,,625000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0006_0001_1,F,F01,0006,0001,1,,555556,62,76,293.6647679174076,659.2551138257398,D4,E5
F01_0006_0002_1,F,F01,0006,0002,1,,555556,60,74,261.6255653005986,587.3295358348151,C4,D5
F01_0006_0002_2,F,F01,0006,0002,2,,555556,60,74,261.6255653005986,587.3295358348151,C4,D5
F01_0007_0001_1,F,F01,0007,0001,1,,625000,60,67,261.6255653005986,391.99543598174927,C4,G4
F01_0007_0001_2,F,F01,0007,0001,2,,625000,60,67,261.6255653005986,391.99543598174927,C4,G4
F01_0008_0001_1,F,F01,0008,0001,1,,500000,60,67,261.6255653005986,391.99543598174927,C4,G4
F01_0008_0001_2,F,F01,0008,0001,2,,500000,60,67,261.6255653005986,391.99543598174927,C4,G4
F01_0009_0001_1_D,F,F01,0009,0001,1,D,625000,60,69,261.6255653005986,440.0,C4,A4
F01_0009_0001_2_D,F,F01,0009,0001,2,D,625000,60,69,261.6255653005986,440.0,C4,A4
F01_0010_0001_1,F,F01,0010,0001,1,,625000,60,69,261.6255653005986,440.0,C4,A4
F01_0010_0001_2,F,F01,0010,0001,2,,625000,60,69,261.6255653005986,440.0,C4,A4
F01_0011_0001_1,F,F01,0011,0001,1,,652174,60,67,261.6255653005986,391.99543598174927,C4,G4
F01_0011_0001_2,F,F01,0011,0001,2,,652174,60,67,261.6255653005986,391.99543598174927,C4,G4
F01_0012_0001_1,F,F01,0012,0001,1,,625000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0012_0001_2,F,F01,0012,0001,2,,625000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0013_0001_1_D,F,F01,0013,0001,1,D,500000,55,67,195.99771799087463,391.99543598174927,G3,G4
F01_0013_0001_2_D,F,F01,0013,0001,2,D,500000,55,67,195.99771799087463,391.99543598174927,G3,G4
F01_0014_0001_1,F,F01,0014,0001,1,,500000,60,64,261.6255653005986,329.6275569128699,C4,E4
F01_0014_0001_2,F,F01,0014,0001,2,,500000,60,64,261.6255653005986,329.6275569128699,C4,E4
F01_0015_0001_1,F,F01,0015,0001,1,,625000,60,67,261.6255653005986,391.99543598174927,C4,G4
F01_0015_0001_2,F,F01,0015,0001,2,,625000,60,67,261.6255653005986,391.99543598174927,C4,G4
F01_0016_0001_1,F,F01,0016,0001,1,,652174,60,69,261.6255653005986,440.0,C4,A4
F01_0016_0001_2,F,F01,0016,0001,2,,652174,60,69,261.6255653005986,440.0,C4,A4
F01_0016_0002_1_D,F,F01,0016,0002,1,D,652174,60,69,261.6255653005986,440.0,C4,A4
F01_0016_0002_2_D,F,F01,0016,0002,2,D,652174,60,69,261.6255653005986,440.0,C4,A4
F01_0017_0001_1,F,F01,0017,0001,1,,625000,62,70,293.6647679174076,466.1637615180899,D4,A#4
F01_0017_0001_2,F,F01,0017,0001,2,,625000,62,70,293.6647679174076,466.1637615180899,D4,A#4
F01_0018_0001_1_D,F,F01,0018,0001,1,D,600000,57,69,220.0,440.0,A3,A4
F01_0018_0001_2_D,F,F01,0018,0001,2,D,600000,57,69,220.0,440.0,A3,A4
F01_0018_0002_1_D,F,F01,0018,0002,1,D,600000,52,69,164.81377845643496,440.0,E3,A4
F01_0018_0002_2_D,F,F01,0018,0002,2,D,600000,52,69,164.81377845643496,440.0,E3,A4
F01_0019_0001_1,F,F01,0019,0001,1,,461538,62,74,293.6647679174076,587.3295358348151,D4,D5
F01_0019_0001_2,F,F01,0019,0001,2,,461538,62,74,293.6647679174076,587.3295358348151,D4,D5
F01_0020_0001_1,F,F01,0020,0001,1,,428571,58,75,233.08188075904496,622.2539674441618,A#3,D#5
F01_0020_0001_2,F,F01,0020,0001,2,,428571,58,75,233.08188075904496,622.2539674441618,A#3,D#5
F01_0020_0002_1,F,F01,0020,0002,1,,428571,62,79,293.6647679174076,783.9908719634985,D4,G5
F01_0020_0002_2,F,F01,0020,0002,2,,428571,62,79,293.6647679174076,783.9908719634985,D4,G5
F01_0021_0001_1_D,F,F01,0021,0001,1,D,625000,60,67,261.6255653005986,391.99543598174927,C4,G4
F01_0021_0001_2_D,F,F01,0021,0001,2,D,625000,60,67,261.6255653005986,391.99543598174927,C4,G4
F01_0022_0001_1_D,F,F01,0022,0001,1,D,625000,52,69,164.81377845643496,440.0,E3,A4
F01_0022_0001_2_D,F,F01,0022,0001,2,D,625000,52,69,164.81377845643496,440.0,E3,A4
F01_0022_0002_1,F,F01,0022,0002,1,,625000,62,74,293.6647679174076,587.3295358348151,D4,D5
F01_0022_0002_2,F,F01,0022,0002,2,,625000,62,74,293.6647679174076,587.3295358348151,D4,D5
F01_0023_0001_1,F,F01,0023,0001,1,,625000,72,76,523.2511306011972,659.2551138257398,C5,E5
F01_0024_0001_1,F,F01,0024,0001,1,,869565,64,76,329.6275569128699,659.2551138257398,E4,E5
F01_0024_0001_2,F,F01,0024,0001,2,,869565,64,76,329.6275569128699,659.2551138257398,E4,E5
F01_0024_0002_1,F,F01,0024,0002,1,,869565,64,78,329.6275569128699,739.9888454232688,E4,F#5
F01_0024_0003_1,F,F01,0024,0003,1,,869565,64,78,329.6275569128699,739.9888454232688,E4,F#5
F01_0025_0001_1,F,F01,0025,0001,1,,625000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0025_0001_2,F,F01,0025,0001,2,,625000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0025_0002_1,F,F01,0025,0002,1,,625000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0025_0002_2,F,F01,0025,0002,2,,625000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0026_0001_1,F,F01,0026,0001,1,,625000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0026_0001_2,F,F01,0026,0001,2,,625000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0026_0002_1,F,F01,0026,0002,1,,625000,60,69,261.6255653005986,440.0,C4,A4
F01_0026_0002_2,F,F01,0026,0002,2,,625000,60,69,261.6255653005986,440.0,C4,A4
F01_0027_0001_1,F,F01,0027,0001,1,,625000,62,76,293.6647679174076,659.2551138257398,D4,E5
F01_0027_0002_1,F,F01,0027,0002,1,,625000,62,76,293.6647679174076,659.2551138257398,D4,E5
F01_0027_0002_2,F,F01,0027,0002,2,,625000,62,76,293.6647679174076,659.2551138257398,D4,E5
F01_0028_0001_1_D,F,F01,0028,0001,1,D,625000,58,70,233.08188075904496,466.1637615180899,A#3,A#4
F01_0028_0001_2_D,F,F01,0028,0001,2,D,625000,58,70,233.08188075904496,466.1637615180899,A#3,A#4
F01_0028_0002_1_D,F,F01,0028,0002,1,D,625000,57,70,220.0,466.1637615180899,A3,A#4
F01_0028_0002_2_D,F,F01,0028,0002,2,D,625000,57,70,220.0,466.1637615180899,A3,A#4
F01_0028_0003_1_D,F,F01,0028,0003,1,D,625000,58,70,233.08188075904496,466.1637615180899,A#3,A#4
F01_0028_0003_2_D,F,F01,0028,0003,2,D,625000,58,70,233.08188075904496,466.1637615180899,A#3,A#4
F01_0028_0004_1_D,F,F01,0028,0004,1,D,625000,57,70,220.0,466.1637615180899,A3,A#4
F01_0028_0004_2_D,F,F01,0028,0004,2,D,625000,57,70,220.0,466.1637615180899,A3,A#4
F01_0029_0001_1_D,F,F01,0029,0001,1,D,545455,55,71,195.99771799087463,493.8833012561241,G3,B4
F01_0029_0001_2_D,F,F01,0029,0001,2,D,545455,55,71,195.99771799087463,493.8833012561241,G3,B4
F01_0029_0002_1_D,F,F01,0029,0002,1,D,545455,55,71,195.99771799087463,493.8833012561241,G3,B4
F01_0029_0002_2_D,F,F01,0029,0002,2,D,545455,55,71,195.99771799087463,493.8833012561241,G3,B4
F01_0030_0001_1,F,F01,0030,0001,1,,500000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0030_0001_2,F,F01,0030,0001,2,,500000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0031_0001_1,F,F01,0031,0001,1,,625000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0031_0001_2,F,F01,0031,0001,2,,625000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0032_0001_1,F,F01,0032,0001,1,,625000,60,70,261.6255653005986,466.1637615180899,C4,A#4
F01_0032_0001_2,F,F01,0032,0001,2,,625000,60,70,261.6255653005986,466.1637615180899,C4,A#4
F01_0032_0002_1,F,F01,0032,0002,1,,625000,62,74,293.6647679174076,587.3295358348151,D4,D5
F01_0032_0002_2,F,F01,0032,0002,2,,625000,62,74,293.6647679174076,587.3295358348151,D4,D5
F01_0033_0001_1,F,F01,0033,0001,1,,517241,64,76,329.6275569128699,659.2551138257398,E4,E5
F01_0033_0001_2,F,F01,0033,0001,2,,517241,64,76,329.6275569128699,659.2551138257398,E4,E5
F01_0034_0001_1_D,F,F01,0034,0001,1,D,625000,58,70,233.08188075904496,466.1637615180899,A#3,A#4
F01_0034_0001_2_D,F,F01,0034,0001,2,D,625000,58,70,233.08188075904496,466.1637615180899,A#3,A#4
F01_0034_0002_1_D,F,F01,0034,0002,1,D,625000,58,70,233.08188075904496,466.1637615180899,A#3,A#4
F01_0034_0002_2_D,F,F01,0034,0002,2,D,625000,58,70,233.08188075904496,466.1637615180899,A#3,A#4
F01_0035_0001_1_D,F,F01,0035,0001,1,D,468750,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0035_0001_2_D,F,F01,0035,0001,2,D,468750,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0035_0002_1_D,F,F01,0035,0002,1,D,468750,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0035_0002_2_D,F,F01,0035,0002,2,D,468750,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0036_0001_1,F,F01,0036,0001,1,,500000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0036_0001_2,F,F01,0036,0001,2,,500000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0036_0002_1,F,F01,0036,0002,1,,500000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0036_0002_2,F,F01,0036,0002,2,,500000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0037_0001_2_D,F,F01,0037,0001,2,D,545455,60,76,261.6255653005986,659.2551138257398,C4,E5
F01_0038_0001_1_D,F,F01,0038,0001,1,D,625000,60,69,261.6255653005986,440.0,C4,A4
F01_0038_0001_2_D,F,F01,0038,0001,2,D,625000,60,69,261.6255653005986,440.0,C4,A4
F01_0038_0002_1_D,F,F01,0038,0002,1,D,625000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0038_0002_2_D,F,F01,0038,0002,2,D,625000,60,72,261.6255653005986,523.2511306011972,C4,C5
F01_0039_0001_1_D,F,F01,0039,0001,1,D,555556,60,69,261.6255653005986,440.0,C4,A4
F01_0039_0001_2_D,F,F01,0039,0001,2,D,555556,60,69,261.6255653005986,440.0,C4,A4
F01_0039_0002_1_D,F,F01,0039,0002,1,D,555556,57,71,220.0,493.8833012561241,A3,B4
F01_0039_0002_2_D,F,F01,0039,0002,2,D,555556,57,71,220.0,493.8833012561241,A3,B4
